#{"t_start": 1768998077.2775233, "env_id": "FetchReachDense-v4"}
r,l,t
-15.82699,50,1.098727
-15.585192,50,1.138867
-17.204912,50,1.685021
-10.731901,50,2.073218
-23.499795,50,2.421408
-10.318151,50,2.799372
-7.805705,50,3.173964
-9.46258,50,3.551841
-12.091789,50,3.93536
-16.966171,50,4.30512
-12.494907,50,4.66205
-10.938591,50,5.056981
-11.553197,50,5.447412
-8.168426,50,5.84444
-8.43684,50,6.219774
-9.724434,50,6.612314
-15.782679,50,7.006563
-13.178258,50,7.401505
-11.791311,50,7.791513
-14.759746,50,8.205048
-13.864526,50,8.628697
-7.594403,50,9.06647
-18.527462,50,9.489525
-12.589748,50,9.901126
-13.328741,50,10.296029
-15.811775,50,10.699925
-7.293942,50,11.091231
-7.601802,50,11.522639
-9.51413,50,11.938023
-11.642189,50,12.361128
-11.899307,50,12.766096
-22.297469,50,13.16272
-16.547562,50,13.557763
-9.022702,50,13.946606
-6.42564,50,14.357189
-13.15746,50,14.78491
-5.530851,50,15.218194
-5.997912,50,15.642012
-5.003502,50,16.034199
-9.66144,50,16.435924
-15.778239,50,16.861049
-10.904834,50,17.278161
-15.933688,50,17.707159
-9.043208,50,18.138274
-6.721267,50,18.533897
-7.195107,50,18.937119
-5.679043,50,19.347209
-6.357157,50,19.785645
-10.126665,50,20.198439
-8.178643,50,20.616435
-10.902636,50,21.828571
-7.626998,50,22.256683
-8.89543,50,22.702542
-3.952163,50,23.115968
-7.342854,50,23.51515
-8.863053,50,23.90768
-4.172246,50,24.301479
-6.45397,50,24.740697
-3.774767,50,25.154274
-2.858439,50,25.548902
-7.234253,50,25.970784
-3.147288,50,26.365917
-4.039234,50,26.778633
-4.737703,50,27.200528
-7.147043,50,27.618982
-6.831702,50,28.006282
-4.443749,50,28.405272
-5.358896,50,28.793251
-3.036267,50,29.178288
-3.16339,50,29.567217
-3.706853,50,29.994807
-5.699063,50,30.401297
-3.375923,50,30.822377
-2.829383,50,31.215804
-4.639964,50,31.610117
-2.667737,50,32.02827
-4.416061,50,32.434348
-3.17559,50,32.877205
-2.994933,50,33.330411
-4.181282,50,33.77193
-2.739802,50,34.17988
-1.556144,50,34.580008
-2.847506,50,35.004621
-3.638818,50,35.397115
-2.535129,50,35.822776
-3.223,50,36.217673
-2.817631,50,36.609318
-2.661624,50,37.001918
-1.896799,50,37.410164
-2.920913,50,37.834728
-2.74166,50,38.233918
-2.69501,50,38.635326
-3.461376,50,39.06053
-2.861763,50,39.466545
-2.67318,50,39.885007
-2.877881,50,40.300834
-3.824506,50,40.715139
-1.585679,50,41.13178
-2.367856,50,41.527176
-2.019344,50,41.944356
-3.254056,50,43.11122
-2.022512,50,43.504163
-1.910612,50,43.909431
-3.193901,50,44.301801
-2.250816,50,44.697148
-1.752927,50,45.091323
