#{"t_start": 1769003298.30547, "env_id": "FetchReach-v4"}
r,l,t
-50.0,50,1.030009
-50.0,50,1.069524
-50.0,50,1.422873
-50.0,50,1.639839
-50.0,50,1.876524
-50.0,50,2.095747
-50.0,50,2.315506
-50.0,50,2.542785
-50.0,50,2.76403
-50.0,50,2.982531
-50.0,50,3.203341
-50.0,50,3.426317
-50.0,50,3.659171
-47.0,50,3.887628
-50.0,50,4.110341
-50.0,50,4.330612
-50.0,50,4.559155
-50.0,50,4.794433
-50.0,50,5.026035
-50.0,50,5.264187
-50.0,50,5.503152
-50.0,50,5.738331
-48.0,50,5.959941
-50.0,50,6.182546
-50.0,50,6.41189
-50.0,50,6.648335
-50.0,50,6.873747
-50.0,50,7.090847
-50.0,50,7.310302
-50.0,50,7.526097
-50.0,50,7.743192
-50.0,50,7.967588
-50.0,50,8.193305
-50.0,50,8.41734
-50.0,50,8.655144
-50.0,50,8.916428
-50.0,50,9.152071
-48.0,50,9.385038
-50.0,50,9.647287
-50.0,50,9.889121
-50.0,50,10.138443
-50.0,50,10.40462
-50.0,50,10.670593
-50.0,50,10.930855
-50.0,50,11.184991
-50.0,50,11.432121
-50.0,50,11.68166
-50.0,50,11.927194
-50.0,50,12.185395
-50.0,50,12.470059
-50.0,50,13.530677
-50.0,50,13.789285
-50.0,50,14.050744
-50.0,50,14.333941
-50.0,50,14.62449
-50.0,50,14.899882
-50.0,50,15.165685
-50.0,50,15.431637
-50.0,50,15.710639
-50.0,50,15.988907
-50.0,50,16.264715
-50.0,50,16.519055
-50.0,50,16.790244
-50.0,50,17.061774
-50.0,50,17.329787
-50.0,50,17.596706
-50.0,50,17.874352
-50.0,50,18.154181
-50.0,50,18.436995
-50.0,50,18.718359
-50.0,50,18.997451
-50.0,50,19.280673
-50.0,50,19.559718
-50.0,50,19.828591
-50.0,50,20.091491
-50.0,50,20.368289
-50.0,50,20.647262
-50.0,50,20.930123
-50.0,50,21.204797
-50.0,50,21.485121
-50.0,50,21.786182
-50.0,50,22.067804
-50.0,50,22.348707
-50.0,50,22.630153
-50.0,50,22.914214
-50.0,50,23.193892
-50.0,50,23.483999
-50.0,50,23.767548
-49.0,50,24.06183
-50.0,50,24.344009
-50.0,50,24.629808
-50.0,50,24.911534
-50.0,50,25.191406
-50.0,50,25.473288
-50.0,50,25.762425
-50.0,50,26.051965
-50.0,50,26.333757
-50.0,50,26.62007
-50.0,50,26.892928
-50.0,50,27.17203
-50.0,50,28.130432
-50.0,50,28.409771
-50.0,50,28.692045
-46.0,50,28.977492
-50.0,50,29.248501
-50.0,50,29.537216
-50.0,50,29.804095
-50.0,50,30.082561
-50.0,50,30.359266
-50.0,50,30.649422
-50.0,50,30.918316
-50.0,50,31.205508
-50.0,50,31.490381
-50.0,50,31.762275
-50.0,50,32.049193
-50.0,50,32.342876
-50.0,50,32.627421
-50.0,50,32.90431
-50.0,50,33.187963
-50.0,50,33.481403
-50.0,50,33.7709
-50.0,50,34.048951
-50.0,50,34.340378
-50.0,50,34.615451
-50.0,50,34.907334
-50.0,50,35.20141
-50.0,50,35.503246
-50.0,50,35.800578
-50.0,50,36.081964
-50.0,50,36.365892
-50.0,50,36.645458
-50.0,50,36.922885
-50.0,50,37.216376
-50.0,50,37.514207
-50.0,50,37.786121
-50.0,50,38.062596
-50.0,50,38.338275
-50.0,50,38.614504
-50.0,50,38.908416
-50.0,50,39.186018
-50.0,50,39.47752
-40.0,50,39.802738
-50.0,50,40.132574
-50.0,50,40.399157
-50.0,50,40.683263
-50.0,50,41.05433
-50.0,50,41.304005
-42.0,50,41.536822
-49.0,50,41.792825
-50.0,50,42.096096
-50.0,50,42.971886
-48.0,50,43.202352
-50.0,50,43.437093
-50.0,50,43.679285
-50.0,50,43.920162
-50.0,50,44.154912
-50.0,50,44.439536
-50.0,50,44.707077
-50.0,50,44.985264
-50.0,50,45.238015
-48.0,50,45.484224
-46.0,50,45.741755
-50.0,50,46.001588
-50.0,50,46.231707
-50.0,50,46.477774
-50.0,50,46.729934
-50.0,50,46.984051
-50.0,50,47.226905
-50.0,50,47.471896
-50.0,50,47.708321
-50.0,50,47.947297
-50.0,50,48.181164
-50.0,50,48.415959
-49.0,50,48.662725
-50.0,50,48.924016
-50.0,50,49.187414
-50.0,50,49.459775
-50.0,50,49.732706
-49.0,50,49.984326
-50.0,50,50.257112
-50.0,50,50.530425
-50.0,50,50.800333
-50.0,50,51.045354
-50.0,50,51.283966
-50.0,50,51.538407
-50.0,50,51.784196
-50.0,50,52.040863
-50.0,50,52.302683
-50.0,50,52.565508
-50.0,50,52.82416
-50.0,50,53.084399
-50.0,50,53.342326
-50.0,50,53.607917
-50.0,50,53.869177
-50.0,50,54.142746
-50.0,50,54.406934
-50.0,50,54.672765
-49.0,50,54.935677
-50.0,50,55.179392
-50.0,50,55.424234
-50.0,50,56.365861
-50.0,50,56.635077
-50.0,50,56.880811
-50.0,50,57.127324
-48.0,50,57.371032
-50.0,50,57.624402
-45.0,50,57.907398
-50.0,50,58.193583
-50.0,50,58.470528
-50.0,50,58.755932
-50.0,50,59.044919
-50.0,50,59.314358
-50.0,50,59.584324
-50.0,50,59.833957
-50.0,50,60.089972
-50.0,50,60.337231
-50.0,50,60.584997
-50.0,50,60.853929
-50.0,50,61.131899
-50.0,50,61.405122
-50.0,50,61.672577
-50.0,50,61.950974
-50.0,50,62.233325
-50.0,50,62.512733
-50.0,50,62.777277
-50.0,50,63.050281
-50.0,50,63.325432
-50.0,50,63.593941
-50.0,50,63.870457
-50.0,50,64.153966
-50.0,50,64.436495
-50.0,50,64.712412
-50.0,50,64.992757
-50.0,50,65.279188
-50.0,50,65.565816
-50.0,50,65.846296
-50.0,50,66.129287
-50.0,50,66.412364
-50.0,50,66.688063
-50.0,50,67.092201
-50.0,50,67.351053
-50.0,50,67.647373
-50.0,50,67.910284
-50.0,50,68.175001
-50.0,50,68.422148
-50.0,50,68.681318
-50.0,50,68.930732
-50.0,50,69.185148
-50.0,50,69.42494
-50.0,50,69.675138
-50.0,50,70.696118
-50.0,50,70.955033
-50.0,50,71.222397
-50.0,50,71.485849
-50.0,50,71.745435
-50.0,50,72.022681
-50.0,50,72.294532
-50.0,50,72.546638
-50.0,50,72.807203
-50.0,50,73.10122
-50.0,50,73.365407
-50.0,50,73.640547
-50.0,50,73.894994
-50.0,50,74.149297
-50.0,50,74.401742
-50.0,50,74.670936
-50.0,50,74.918475
-50.0,50,75.17253
-50.0,50,75.450389
-50.0,50,75.713901
-50.0,50,75.987149
-48.0,50,76.24467
-50.0,50,76.510454
-50.0,50,76.782726
-50.0,50,77.054286
-50.0,50,77.320843
-50.0,50,77.572706
-50.0,50,77.854983
-50.0,50,78.115371
-50.0,50,78.394809
-50.0,50,78.679407
-50.0,50,78.957568
-50.0,50,79.388007
-50.0,50,79.672521
-50.0,50,79.996391
-50.0,50,80.271665
-50.0,50,80.532466
-50.0,50,80.828237
-50.0,50,81.094629
-50.0,50,81.33447
-50.0,50,81.615306
-50.0,50,81.878447
-50.0,50,82.130744
-50.0,50,82.392174
-50.0,50,82.644722
-50.0,50,82.900746
-50.0,50,83.166758
-50.0,50,83.418381
-50.0,50,83.67621
-50.0,50,83.929932
-50.0,50,84.959391
-50.0,50,85.224893
-50.0,50,85.486458
-50.0,50,85.755325
-50.0,50,86.004202
-50.0,50,86.272871
-50.0,50,86.535981
-50.0,50,86.791471
