#{"t_start": 1769160772.1206348, "env_id": "FetchReach-v4"}
r,l,t
-50.0,50,1.645289
-50.0,50,1.686802
-50.0,50,2.088933
-50.0,50,2.354525
-50.0,50,2.630611
-50.0,50,2.895709
-50.0,50,3.149303
-50.0,50,3.40489
-50.0,50,3.665459
-50.0,50,3.937555
-50.0,50,4.193141
-50.0,50,4.460957
-50.0,50,4.746052
-50.0,50,5.002637
-48.0,50,5.261717
-50.0,50,5.529317
-50.0,50,5.798401
-50.0,50,6.072497
-50.0,50,6.338078
-50.0,50,6.611671
-50.0,50,6.877736
-50.0,50,7.152324
-50.0,50,7.420911
-50.0,50,7.697496
-50.0,50,7.973582
-50.0,50,8.255176
-50.0,50,8.531768
-50.0,50,8.817996
-50.0,50,9.107856
-50.0,50,9.404461
-50.0,50,9.694649
-50.0,50,9.984071
-50.0,50,10.272762
-50.0,50,10.584743
-50.0,50,10.87188
-50.0,50,11.17487
-50.0,50,11.485075
-50.0,50,11.807898
-50.0,50,12.108483
-50.0,50,12.445096
-50.0,50,12.789113
-50.0,50,13.068951
-50.0,50,13.34834
-50.0,50,13.636595
-50.0,50,13.950729
-50.0,50,14.271164
-50.0,50,14.581062
-50.0,50,14.951677
-50.0,50,15.280065
-50.0,50,15.618084
-50.0,50,16.663832
-50.0,50,16.946541
-50.0,50,17.245511
-50.0,50,17.533628
-50.0,50,17.854592
-50.0,50,18.164545
-50.0,50,18.498319
-50.0,50,18.786571
-50.0,50,19.06822
-50.0,50,19.329473
-50.0,50,19.618765
-50.0,50,19.935296
-47.0,50,20.258341
-50.0,50,20.549796
-50.0,50,20.832774
-50.0,50,21.113041
-50.0,50,21.392685
-50.0,50,21.697892
-50.0,50,22.000043
-50.0,50,22.293893
-50.0,50,22.601452
-50.0,50,22.901083
-50.0,50,23.200653
-42.0,50,23.502763
-50.0,50,23.806827
-50.0,50,24.143208
-50.0,50,24.441847
-50.0,50,24.743166
-48.0,50,25.035555
-50.0,50,25.324961
-50.0,50,25.596944
-50.0,50,25.871161
-43.0,50,26.151387
-50.0,50,26.461142
-50.0,50,26.797945
-38.0,50,27.098662
-50.0,50,27.386367
-43.0,50,27.671777
-49.0,50,27.973158
-50.0,50,28.296181
-48.0,50,28.641476
-50.0,50,28.991994
-50.0,50,29.327332
-50.0,50,29.636352
-50.0,50,29.905364
-50.0,50,30.16188
-50.0,50,30.430478
-50.0,50,30.721491
-2.0,50,31.004834
-50.0,50,31.336426
-50.0,50,32.376474
-50.0,50,32.65999
-50.0,50,32.946131
-50.0,50,33.299648
-50.0,50,33.661621
-50.0,50,33.989759
-50.0,50,34.250113
-3.0,50,34.552377
-50.0,50,34.829891
-50.0,50,35.109761
-50.0,50,35.399847
-50.0,50,35.687871
-50.0,50,35.982007
-50.0,50,36.310519
-50.0,50,36.679538
-50.0,50,36.958055
-50.0,50,37.279184
-50.0,50,37.543445
-50.0,50,37.868965
-50.0,50,38.231334
-50.0,50,38.559182
-50.0,50,38.868843
-50.0,50,39.183946
-50.0,50,39.5084
-50.0,50,39.841149
-44.0,50,40.141033
-3.0,50,40.40801
-50.0,50,40.674103
-50.0,50,40.957746
-43.0,50,41.249393
-48.0,50,41.545837
-30.0,50,41.838788
-16.0,50,42.118843
-50.0,50,42.391743
-50.0,50,42.674937
-50.0,50,42.962913
-50.0,50,43.321707
-50.0,50,43.597341
-49.0,50,43.86467
-50.0,50,44.141958
-50.0,50,44.414515
-50.0,50,44.693161
-12.0,50,44.973221
-47.0,50,45.282968
-47.0,50,45.593795
-45.0,50,45.913021
-50.0,50,46.212085
-50.0,50,46.52475
-50.0,50,46.840976
-1.0,50,47.158453
-50.0,50,48.129922
-50.0,50,48.456032
-45.0,50,48.783737
-16.0,50,49.105309
-50.0,50,49.423794
-15.0,50,49.736729
-18.0,50,50.052433
-50.0,50,50.399692
-50.0,50,50.739746
-48.0,50,51.072994
-50.0,50,51.386734
-50.0,50,51.689918
-50.0,50,52.01215
-49.0,50,52.361831
-50.0,50,52.699044
-50.0,50,53.023408
-4.0,50,53.365029
-50.0,50,53.704612
-50.0,50,54.056042
-44.0,50,54.372911
-50.0,50,54.674083
-44.0,50,54.974834
-50.0,50,55.277038
-44.0,50,55.606139
-48.0,50,55.938036
-46.0,50,56.24061
-48.0,50,56.543887
-26.0,50,56.846399
-50.0,50,57.168544
-48.0,50,57.491155
-50.0,50,57.814692
-50.0,50,58.130338
-50.0,50,58.439774
-50.0,50,58.745238
-49.0,50,59.066537
-50.0,50,59.400258
-46.0,50,59.730341
-50.0,50,60.056991
-50.0,50,60.396073
-50.0,50,60.749764
-50.0,50,61.094196
-50.0,50,61.433134
-50.0,50,61.790057
-50.0,50,62.136991
-50.0,50,62.4909
-38.0,50,62.835253
-50.0,50,63.193045
-50.0,50,63.541743
-50.0,50,63.876178
-49.0,50,64.207992
-49.0,50,65.245917
-31.0,50,65.581601
-50.0,50,65.907044
-18.0,50,66.216502
-45.0,50,66.520492
-29.0,50,66.819623
-48.0,50,67.119989
-45.0,50,67.424069
-24.0,50,67.730145
-12.0,50,68.028276
-28.0,50,68.33259
-12.0,50,68.634167
-28.0,50,68.936883
-9.0,50,69.237883
-26.0,50,69.549569
-1.0,50,69.866265
-16.0,50,70.221064
