#{"t_start": 1769007612.8784375, "env_id": "FetchReach-v4"}
r,l,t
-50.0,50,1.059928
-50.0,50,1.100408
-50.0,50,1.450584
-50.0,50,1.677254
-50.0,50,1.891317
-50.0,50,2.098423
-50.0,50,2.307708
-50.0,50,2.516713
-50.0,50,2.733216
-50.0,50,2.946213
-50.0,50,3.184685
-50.0,50,3.413784
-50.0,50,3.648106
-50.0,50,3.860618
-46.0,50,4.079556
-50.0,50,4.290707
-50.0,50,4.502743
-50.0,50,4.714773
-50.0,50,4.930669
-50.0,50,5.141491
-50.0,50,5.354335
-50.0,50,5.570358
-50.0,50,5.793904
-50.0,50,6.010785
-50.0,50,6.236891
-50.0,50,6.454771
-50.0,50,6.672632
-50.0,50,6.896167
-50.0,50,7.115643
-50.0,50,7.335324
-50.0,50,7.556902
-50.0,50,7.782475
-50.0,50,8.010819
-50.0,50,8.253933
-50.0,50,8.499493
-50.0,50,8.725611
-50.0,50,8.953025
-50.0,50,9.185824
-50.0,50,9.412493
-50.0,50,9.651432
-50.0,50,9.889275
-48.0,50,10.123178
-39.0,50,10.373567
-50.0,50,10.612592
-46.0,50,10.868139
-50.0,50,11.106073
-50.0,50,11.350382
-50.0,50,11.581411
-50.0,50,11.828572
-50.0,50,12.067251
-50.0,50,13.01274
-50.0,50,13.26348
-50.0,50,13.503438
-50.0,50,13.746041
-50.0,50,13.989531
-50.0,50,14.230692
-45.0,50,14.470613
-50.0,50,14.704845
-50.0,50,14.967569
-50.0,50,15.203804
-50.0,50,15.440184
-50.0,50,15.682699
-50.0,50,15.933425
-50.0,50,16.184509
-50.0,50,16.430326
-50.0,50,16.679404
-50.0,50,16.922533
-50.0,50,17.157047
-50.0,50,17.391528
-50.0,50,17.62552
-50.0,50,17.863587
-50.0,50,18.097908
-50.0,50,18.332296
-50.0,50,18.567537
-50.0,50,18.80354
-47.0,50,19.047088
-50.0,50,19.29365
-50.0,50,19.541006
-50.0,50,19.786713
-50.0,50,20.024668
-50.0,50,20.265149
-50.0,50,20.512983
-50.0,50,20.750915
-50.0,50,20.994091
-50.0,50,21.253564
-50.0,50,21.503317
-50.0,50,21.757477
-50.0,50,22.005863
-49.0,50,22.260289
-50.0,50,22.50936
-50.0,50,22.762824
-50.0,50,23.022405
-50.0,50,23.283573
-50.0,50,23.536784
-50.0,50,23.795567
-50.0,50,24.051349
-50.0,50,24.303523
-50.0,50,24.564119
-50.0,50,24.829549
-50.0,50,25.093903
-50.0,50,26.055019
-50.0,50,26.31993
-50.0,50,26.578706
-50.0,50,26.829419
-50.0,50,27.078435
-50.0,50,27.323567
-50.0,50,27.567285
-50.0,50,27.806081
-50.0,50,28.04807
-50.0,50,28.291447
-50.0,50,28.543612
-50.0,50,28.792607
-50.0,50,29.042403
-50.0,50,29.291434
-50.0,50,29.540859
-50.0,50,29.79258
-50.0,50,30.04533
-48.0,50,30.29812
-50.0,50,30.557449
-50.0,50,30.80816
-50.0,50,31.06464
-50.0,50,31.315875
-50.0,50,31.566293
-50.0,50,31.818369
-50.0,50,32.14471
-50.0,50,32.406563
