#{"t_start": 1769160430.5326166, "env_id": "FetchReach-v4"}
r,l,t
-50.0,50,1.705142
-50.0,50,1.748413
-50.0,50,2.204739
-50.0,50,2.506337
-50.0,50,2.792884
-50.0,50,3.080695
-50.0,50,3.368332
-50.0,50,3.661054
-50.0,50,3.944189
-50.0,50,4.219004
-50.0,50,4.524523
-50.0,50,4.827337
-50.0,50,5.164091
-50.0,50,5.46526
-50.0,50,5.75224
-50.0,50,6.079492
-50.0,50,6.388583
-50.0,50,6.69519
-50.0,50,7.009961
-50.0,50,7.293337
-50.0,50,7.578685
-50.0,50,7.863881
-50.0,50,8.148267
-50.0,50,8.456839
-48.0,50,8.782471
-50.0,50,9.108082
-50.0,50,9.443459
-50.0,50,9.75441
-50.0,50,10.074583
-50.0,50,10.38185
-50.0,50,10.671862
-50.0,50,10.956985
-50.0,50,11.241192
-50.0,50,11.537996
-50.0,50,11.832204
-50.0,50,12.1445
-50.0,50,12.461783
-48.0,50,12.801296
-50.0,50,13.121104
-50.0,50,13.441981
-50.0,50,13.76324
-46.0,50,14.082302
-50.0,50,14.406387
-50.0,50,14.724508
-50.0,50,15.051403
-50.0,50,15.386746
-50.0,50,15.725566
-50.0,50,16.05435
-50.0,50,16.380144
-50.0,50,16.706356
-50.0,50,17.75334
-50.0,50,18.098194
-48.0,50,18.431318
-50.0,50,18.757896
-50.0,50,19.092465
-50.0,50,19.405363
-50.0,50,19.757451
-49.0,50,20.123926
-50.0,50,20.476929
-50.0,50,20.811426
-50.0,50,21.135448
-50.0,50,21.452229
-50.0,50,21.770507
-50.0,50,22.171639
-50.0,50,22.492056
-50.0,50,22.799086
-50.0,50,23.094503
-50.0,50,23.402972
-50.0,50,23.724426
-50.0,50,24.033432
-50.0,50,24.387956
-50.0,50,24.744155
-50.0,50,25.084407
-50.0,50,25.431145
-50.0,50,25.749511
-50.0,50,26.046232
-50.0,50,26.335462
-50.0,50,26.629685
-50.0,50,26.92495
-50.0,50,27.21861
-50.0,50,27.524893
-50.0,50,28.049854
-50.0,50,28.361167
-50.0,50,28.66383
-50.0,50,28.971999
-49.0,50,29.324242
-50.0,50,29.631314
-50.0,50,29.936101
-50.0,50,30.261431
-50.0,50,30.566347
-48.0,50,30.890711
-50.0,50,31.197024
-50.0,50,31.53057
-50.0,50,31.847419
-50.0,50,32.188881
-48.0,50,32.517207
-50.0,50,32.828014
-48.0,50,33.132169
-23.0,50,33.440672
-48.0,50,33.783326
-50.0,50,34.739712
-50.0,50,35.040377
-49.0,50,35.335348
-50.0,50,35.675452
-48.0,50,36.009978
-30.0,50,36.312328
-41.0,50,36.605594
-38.0,50,36.896276
-50.0,50,37.181328
-49.0,50,37.472411
-50.0,50,37.785737
-50.0,50,38.085045
-50.0,50,38.388045
-50.0,50,38.68835
-47.0,50,38.991731
-44.0,50,39.329369
-50.0,50,39.648966
-50.0,50,39.965054
-48.0,50,40.278655
-49.0,50,40.604265
-50.0,50,40.909459
-50.0,50,41.211855
-48.0,50,41.521896
-50.0,50,41.903215
-50.0,50,42.220578
-50.0,50,42.516253
-50.0,50,42.810214
-50.0,50,43.102254
-28.0,50,43.389162
-50.0,50,43.674885
-45.0,50,43.978829
-44.0,50,44.284675
-47.0,50,44.57825
-47.0,50,44.85998
-33.0,50,45.151627
-11.0,50,45.464222
-45.0,50,45.794328
-46.0,50,46.110145
-41.0,50,46.397197
-22.0,50,46.693201
-16.0,50,46.994524
-30.0,50,47.289413
-47.0,50,47.64041
-24.0,50,47.967075
-42.0,50,48.277153
-12.0,50,48.572965
-7.0,50,48.870779
-4.0,50,49.177035
-16.0,50,49.466232
-30.0,50,49.755353
-41.0,50,50.720549
-45.0,50,51.058963
-15.0,50,51.377292
-32.0,50,51.68295
-18.0,50,51.985561
-2.0,50,52.288574
-11.0,50,52.592402
-45.0,50,52.893281
-46.0,50,53.191182
-14.0,50,53.486454
-40.0,50,53.823977
-19.0,50,54.121282
-5.0,50,54.421221
-4.0,50,54.712352
-4.0,50,55.011265
-2.0,50,55.299248
-2.0,50,55.588881
-8.0,50,55.88226
-13.0,50,56.182092
-3.0,50,56.475081
-2.0,50,56.773093
-2.0,50,57.067771
0.0,50,57.355474
-3.0,50,57.657088
-7.0,50,57.94454
-1.0,50,58.229705
-1.0,50,58.512993
-29.0,50,58.797428
-1.0,50,59.081879
-1.0,50,59.372289
-1.0,50,59.655142
-4.0,50,59.942065
-2.0,50,60.234098
-2.0,50,60.529409
-11.0,50,60.834091
-2.0,50,61.143187
-4.0,50,61.446194
-2.0,50,61.742998
-3.0,50,62.047059
-1.0,50,62.347949
-2.0,50,62.641472
-1.0,50,62.937127
-2.0,50,63.236228
-2.0,50,63.529431
-2.0,50,63.833248
-2.0,50,64.139194
-2.0,50,64.444264
-4.0,50,64.743078
-1.0,50,65.03718
0.0,50,65.344325
-2.0,50,66.336191
-2.0,50,66.631988
-2.0,50,66.918405
-3.0,50,67.216426
-2.0,50,67.514057
-2.0,50,67.809274
-1.0,50,68.114504
-1.0,50,68.415461
-2.0,50,68.71919
-2.0,50,69.027537
-3.0,50,69.337587
0.0,50,69.633484
0.0,50,69.93627
-8.0,50,70.240525
-1.0,50,70.541981
-11.0,50,70.905848
0.0,50,71.196301
-2.0,50,71.486142
-1.0,50,71.768187
-2.0,50,72.064342
-2.0,50,72.356495
-1.0,50,72.643485
0.0,50,72.942114
-3.0,50,73.243966
-10.0,50,73.535547
-3.0,50,73.840019
-3.0,50,74.150488
-1.0,50,74.45156
-2.0,50,74.755426
-3.0,50,75.056
-3.0,50,75.351304
-3.0,50,75.645998
-29.0,50,75.949266
-1.0,50,76.252315
-6.0,50,76.557315
-2.0,50,76.91956
-1.0,50,77.200131
-1.0,50,77.491446
-1.0,50,77.800038
-2.0,50,78.086615
-3.0,50,78.378529
-2.0,50,78.668603
-4.0,50,78.971676
0.0,50,79.279347
-1.0,50,79.581988
-1.0,50,79.897084
-2.0,50,80.199072
-1.0,50,80.519163
0.0,50,80.818532
-2.0,50,81.112104
-2.0,50,82.001389
-11.0,50,82.289473
-1.0,50,82.580262
-3.0,50,82.867839
-7.0,50,83.139971
-2.0,50,83.449364
-1.0,50,83.742298
-1.0,50,84.04743
-2.0,50,84.336402
-2.0,50,84.622108
-6.0,50,84.931341
-10.0,50,85.235995
-2.0,50,85.543331
-3.0,50,85.867643
-4.0,50,86.239778
-2.0,50,86.569405
0.0,50,86.892006
-5.0,50,87.248249
-2.0,50,87.592307
-1.0,50,87.925817
-2.0,50,88.234427
-15.0,50,88.538106
-2.0,50,88.835389
-2.0,50,89.135767
-2.0,50,89.4424
-5.0,50,89.775362
-3.0,50,90.127369
-2.0,50,90.50942
-5.0,50,90.839616
-3.0,50,91.157215
-2.0,50,91.456816
0.0,50,91.76566
-1.0,50,92.060144
-2.0,50,92.356733
-2.0,50,92.678856
-1.0,50,92.999732
-10.0,50,93.320091
-2.0,50,93.633484
-1.0,50,93.948436
-2.0,50,94.270604
0.0,50,94.598916
-3.0,50,94.92662
-1.0,50,95.251143
-49.0,50,95.566559
-3.0,50,95.898198
-2.0,50,96.235466
-1.0,50,96.570982
-4.0,50,96.90658
-43.0,50,97.238374
-11.0,50,97.575944
-2.0,50,98.629934
0.0,50,98.988538
-1.0,50,99.347386
-2.0,50,99.710716
-3.0,50,100.067587
-7.0,50,100.423334
-3.0,50,100.784378
-3.0,50,101.146421
-5.0,50,101.511398
-2.0,50,101.868318
-1.0,50,102.224774
-10.0,50,102.566175
-6.0,50,102.894191
-7.0,50,103.212148
-2.0,50,103.540545
0.0,50,103.86704
-8.0,50,104.187273
0.0,50,104.505048
-2.0,50,104.830932
-2.0,50,105.155036
-2.0,50,105.479783
-1.0,50,105.801468
0.0,50,106.136589
-2.0,50,106.460606
-9.0,50,106.793149
-5.0,50,107.120254
-3.0,50,107.42907
-3.0,50,107.751205
-3.0,50,108.109515
-3.0,50,108.457221
-2.0,50,108.804089
-8.0,50,109.144605
-2.0,50,109.495402
-2.0,50,109.836363
-1.0,50,110.19197
-2.0,50,110.553189
-6.0,50,110.911995
-2.0,50,111.277045
-10.0,50,111.63615
-10.0,50,111.995078
-2.0,50,112.353206
-2.0,50,112.724394
-9.0,50,113.064488
-4.0,50,113.408427
-1.0,50,113.746373
0.0,50,114.089117
-4.0,50,114.427397
0.0,50,114.764315
-3.0,50,115.09609
-8.0,50,115.435119
-32.0,50,116.464005
-1.0,50,116.794943
-6.0,50,117.132338
-3.0,50,117.472224
-23.0,50,117.802318
-12.0,50,118.155073
-4.0,50,118.499234
-14.0,50,118.842876
-3.0,50,119.181285
-2.0,50,119.513369
-7.0,50,119.862096
-3.0,50,120.216658
-1.0,50,120.550214
-8.0,50,120.889294
-2.0,50,121.232281
-9.0,50,121.596461
-1.0,50,121.97151
-1.0,50,122.31151
-11.0,50,122.648689
-2.0,50,122.968443
-1.0,50,123.313608
-1.0,50,123.653695
-3.0,50,124.005209
-3.0,50,124.341008
0.0,50,124.676331
-7.0,50,125.012029
-2.0,50,125.351269
-2.0,50,125.695378
-1.0,50,126.036375
-11.0,50,126.38437
-1.0,50,126.721678
-2.0,50,127.071957
-3.0,50,127.420856
-2.0,50,127.782285
-1.0,50,128.143056
-1.0,50,128.502949
-5.0,50,128.873246
-3.0,50,129.235176
-3.0,50,129.587072
-3.0,50,129.931153
-3.0,50,130.293071
-4.0,50,130.662318
-2.0,50,131.021473
-2.0,50,131.388331
-2.0,50,131.73338
-6.0,50,132.08332
-2.0,50,132.432249
-2.0,50,132.785971
-2.0,50,133.126888
-2.0,50,133.459767
-2.0,50,134.453863
-4.0,50,134.785484
-14.0,50,135.126416
-1.0,50,135.455504
-3.0,50,135.794592
-2.0,50,136.12594
-7.0,50,136.467143
-1.0,50,136.80493
-3.0,50,137.156682
-1.0,50,137.499541
0.0,50,137.828637
-2.0,50,138.161567
-9.0,50,138.528331
-2.0,50,138.85678
-2.0,50,139.180558
-3.0,50,139.51215
-5.0,50,139.877863
-2.0,50,140.25122
-18.0,50,140.599281
-4.0,50,140.969553
-10.0,50,141.324572
-13.0,50,141.680608
-16.0,50,142.060188
-6.0,50,142.393096
-2.0,50,142.74542
-2.0,50,143.111819
-5.0,50,143.445895
-3.0,50,143.777465
-2.0,50,144.084077
0.0,50,144.398726
-2.0,50,144.731959
-2.0,50,145.060908
-2.0,50,145.379033
-3.0,50,145.708866
-2.0,50,146.026904
-12.0,50,146.349195
-4.0,50,146.688303
-1.0,50,147.020937
-7.0,50,147.344455
-7.0,50,147.675851
-2.0,50,147.988276
-3.0,50,148.297243
-5.0,50,148.635056
-5.0,50,148.992899
-3.0,50,149.344091
-6.0,50,149.683959
-3.0,50,150.059833
-2.0,50,150.413238
-3.0,50,150.760917
-3.0,50,151.138914
-3.0,50,152.1943
-2.0,50,152.544325
-2.0,50,152.879655
-2.0,50,153.208492
-6.0,50,153.556683
-6.0,50,153.897192
-2.0,50,154.223176
-4.0,50,154.549104
-2.0,50,154.859157
-2.0,50,155.172116
-4.0,50,155.494196
-6.0,50,155.811221
-6.0,50,156.122262
-13.0,50,156.464086
-2.0,50,156.802839
-2.0,50,157.12014
-2.0,50,157.446847
-8.0,50,157.762209
-8.0,50,158.075321
-1.0,50,158.390862
-2.0,50,158.723936
-2.0,50,159.051185
-2.0,50,159.379598
-1.0,50,159.70998
-1.0,50,160.048002
-3.0,50,160.374308
-2.0,50,160.722045
0.0,50,161.040531
-3.0,50,161.362093
-1.0,50,161.682136
-2.0,50,162.016984
-2.0,50,162.340933
-3.0,50,162.691529
-3.0,50,163.024063
-3.0,50,163.348156
-1.0,50,163.656338
-3.0,50,163.991053
-2.0,50,164.311141
-1.0,50,164.646582
-3.0,50,164.996167
-1.0,50,165.354733
-3.0,50,165.7108
-2.0,50,166.0539
-5.0,50,166.380663
-2.0,50,166.726192
0.0,50,167.066055
-12.0,50,167.382091
-6.0,50,167.708264
-7.0,50,168.033128
-16.0,50,168.34181
-4.0,50,169.370963
-2.0,50,169.724047
-2.0,50,170.079564
-4.0,50,170.449178
0.0,50,170.793848
-2.0,50,171.1518
-1.0,50,171.499111
-16.0,50,171.846653
-1.0,50,172.191349
-2.0,50,172.53298
-1.0,50,172.850296
-1.0,50,173.185219
-1.0,50,173.536747
-6.0,50,173.875429
-5.0,50,174.201697
-3.0,50,174.523942
-5.0,50,174.848155
-3.0,50,175.202959
-11.0,50,175.553058
-2.0,50,175.871647
-1.0,50,176.198849
0.0,50,176.510951
-2.0,50,176.826557
-2.0,50,177.145371
-2.0,50,177.493048
-3.0,50,177.822928
-14.0,50,178.154477
-4.0,50,178.462083
