#{"t_start": 1768917032.4485419, "env_id": "FetchReachDense-v4"}
r,l,t
-5.518209,50,5.082876
-20.296894,50,5.183934
-18.843016,50,5.556605
-19.40622,50,5.884536
-22.738814,50,6.25706
-28.681677,50,6.607883
-16.561282,50,6.949941
-51.21515,50,7.249098
-32.547149,50,7.554288
-34.462683,50,7.854391
-30.574452,50,8.169226
-9.289375,50,8.475139
-11.641367,50,8.796112
-16.054866,50,9.134273
-19.715555,50,9.458218
-9.73509,50,9.763969
-12.64796,50,10.122371
-21.129488,50,10.464946
-27.025742,50,10.812843
-23.914006,50,11.12568
