#{"t_start": 1769161422.8300374, "env_id": "FetchReach-v4"}
r,l,t
-50.0,50,1.666526
-50.0,50,1.710873
-50.0,50,2.12128
-50.0,50,2.37789
-50.0,50,2.632694
-50.0,50,2.891584
-50.0,50,3.161017
-50.0,50,3.431463
-50.0,50,3.704882
-50.0,50,3.971332
-50.0,50,4.251174
-50.0,50,4.516073
-48.0,50,4.772301
-46.0,50,5.033564
-50.0,50,5.294913
-50.0,50,5.556114
-50.0,50,5.813969
-50.0,50,6.081959
-50.0,50,6.348406
-50.0,50,6.610302
-50.0,50,6.876431
-50.0,50,7.152547
-50.0,50,7.415858
-50.0,50,7.690194
-50.0,50,7.952633
-50.0,50,8.247806
-50.0,50,8.522976
-50.0,50,8.798627
-50.0,50,9.087867
-50.0,50,9.376714
-50.0,50,9.656513
-50.0,50,9.963657
-50.0,50,10.255867
-50.0,50,10.539784
-50.0,50,10.8215
-50.0,50,11.118816
-50.0,50,11.421762
-47.0,50,11.722584
-50.0,50,12.047821
-50.0,50,12.35187
-50.0,50,12.654036
-50.0,50,12.956018
-50.0,50,13.256999
-50.0,50,13.558697
-50.0,50,13.855835
-50.0,50,14.17766
-50.0,50,14.489071
-50.0,50,14.79131
-50.0,50,15.105409
-50.0,50,15.403132
-50.0,50,16.402504
-50.0,50,16.692847
-49.0,50,16.985328
-50.0,50,17.274926
-50.0,50,17.566264
-50.0,50,17.863797
-50.0,50,18.154281
-48.0,50,18.450915
-50.0,50,18.74387
-50.0,50,19.043713
-50.0,50,19.352924
-50.0,50,19.646001
-50.0,50,19.93454
-50.0,50,20.237721
-40.0,50,20.533561
-50.0,50,20.827945
-50.0,50,21.1287
-50.0,50,21.440989
-20.0,50,21.750072
-50.0,50,22.059438
-50.0,50,22.384564
-31.0,50,22.691776
-50.0,50,22.990575
-50.0,50,23.306089
-50.0,50,23.604766
-50.0,50,23.907929
-50.0,50,24.212591
-44.0,50,24.5236
-50.0,50,24.829957
-50.0,50,25.131083
-50.0,50,25.457846
-50.0,50,25.76258
-50.0,50,26.0707
-50.0,50,26.391876
-50.0,50,26.69794
-50.0,50,26.986023
-50.0,50,27.283626
-39.0,50,27.591979
-50.0,50,27.887047
-50.0,50,28.172687
-50.0,50,28.481912
-50.0,50,28.771022
-50.0,50,29.060762
-50.0,50,29.35417
-50.0,50,29.652936
-50.0,50,29.944792
-50.0,50,30.238804
-50.0,50,30.534901
-48.0,50,30.827776
-50.0,50,31.130525
-50.0,50,32.127951
-46.0,50,32.44585
-40.0,50,32.755612
-43.0,50,33.059775
-48.0,50,33.360763
-50.0,50,33.665014
-46.0,50,33.966648
-45.0,50,34.270713
-50.0,50,34.571568
-46.0,50,34.876684
-50.0,50,35.171681
-50.0,50,35.497853
-20.0,50,35.804218
-50.0,50,36.104413
-50.0,50,36.422755
-26.0,50,36.722718
-49.0,50,37.020845
-50.0,50,37.323097
-50.0,50,37.61436
-38.0,50,37.910991
-49.0,50,38.201999
-33.0,50,38.50653
-50.0,50,38.810086
-32.0,50,39.155734
-7.0,50,39.473444
-35.0,50,39.78353
-28.0,50,40.075576
-3.0,50,40.365189
-18.0,50,40.673535
-1.0,50,40.966921
-39.0,50,41.256583
-44.0,50,41.555523
-26.0,50,41.87204
-29.0,50,42.20716
-11.0,50,42.556556
-7.0,50,42.902437
-7.0,50,43.200033
-47.0,50,43.504383
-14.0,50,43.835021
-11.0,50,44.105943
-2.0,50,44.403782
-5.0,50,44.723613
-48.0,50,44.999882
-3.0,50,45.26306
-34.0,50,45.535069
-10.0,50,45.845691
-15.0,50,46.146988
-4.0,50,46.452796
-14.0,50,46.790901
-12.0,50,47.102832
-37.0,50,48.042645
-44.0,50,48.310052
-2.0,50,48.58663
-18.0,50,48.856622
-10.0,50,49.131582
-10.0,50,49.419599
-3.0,50,49.707935
-16.0,50,49.995611
-34.0,50,50.297794
0.0,50,50.631037
-7.0,50,50.929735
-27.0,50,51.195649
-3.0,50,51.473722
-4.0,50,51.742671
-11.0,50,52.015146
-8.0,50,52.2897
-2.0,50,52.553684
-3.0,50,52.833297
-14.0,50,53.125656
-2.0,50,53.440641
-35.0,50,53.749662
-48.0,50,54.053327
-9.0,50,54.356026
-50.0,50,54.664706
-24.0,50,54.961997
-29.0,50,55.250432
-1.0,50,55.543642
-3.0,50,55.844494
-8.0,50,56.13504
-2.0,50,56.420083
-13.0,50,56.713067
-10.0,50,57.034839
-11.0,50,57.335741
-4.0,50,57.641294
-14.0,50,57.946858
